EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,ANTICIPOS_CTE,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,target
1402839.424,44583071.51,17579093.5,1648525.1830000002,502786.0965,1050457.857,53144319.0,5822111.377,11801150.03,-4952368.882,93509292.05,148561316.0,20264583.45,25444134.56,Aceptado
185096.11399999997,11144636.79,36407677.13,421473.2498,2913787.137,0.0,0.0,2403460.29,9051637.894,-6260909.512,195888893.9,490122508.5,18922974.36,0.0,Aceptado
8055658.402000001,83094868.07,7723528.23,118719192.2,5021465.592,-11973360.6,81723630.93,20563126.26,0.0,-5931161.055,0.0,667605061.3,26617184.75,0.0,Aceptado
98432.31783,5876109.56,3991008.27,584796.2191,40727.40004,5300207.656,16434719.41,1232946.504,9367406.888,-4511668.558999999,0.0,0.0,9875364.808,6535523.691000001,Aceptado
0.0,23696999.62,36624028.71,0.0,3222505.914,0.0,50356975.02,7996380.161,8604878.929,-192453.0126,339766638.6,93545090.01,0.0,29035672.5,Aceptado
0.0,0.0,19395.0844,1117797.43,178000.76899999997,0.0,4211877.876,3906267.107,-3728542.131,-3703768.248,3040521.318,3599902.7860000003,0.0,235474.74800000002,Aceptado
292910.2297,0.0,5694064.747,243791.6277,513941.2896,1913973.601,12441655.17,198416.5172,0.0,-1750636.757,72197368.43,31511650.58,9679323.344,21517347.18,Aceptado
420712.0685,6949278.72,13155414.38,589494.7445,1741775.342,6581424.642000001,0.0,0.0,-4280945.88,-458881.7975,95146235.34,76074980.98,24916264.64,27901464.63,Aceptado
117405.0183,1577428.81,1094960.888,967399.1185,74643.20732999999,5556008.267000001,4845444.313,4387241.966,-4977216.805,0.0,1506788.0469999998,16286886.57,0.0,841977.2235,Aceptado
191440.8243,0.0,13404166.81,474422.3522,448206.0216,7277252.706,31840650.46,30410.078869999998,-2691678.244,0.0,74495792.98,75382713.44,40588922.94,38170033.92,Aceptado
0.0,1353479.7130000002,9402.575862,89414.8673,118601.3935,-9847258.066,0.0,201326.444,9759516.651,475258.8186,12869851.63,932851.2687,286381.7611,1464896.3569999998,Aceptado
105685.4946,11646967.28,6950878.052999999,0.0,514592.5606,4426614.406,19808599.6,3183753.36,11312118.06,-6918360.97,64562032.22,56316194.69,6482670.555,0.0,Aceptado
0.0,7424373.488,1072867.182,0.0,1325290.442,4398821.025,19595574.34,460188.9919,6553506.067000001,-2007358.47,84634662.23,0.0,0.0,11155912.62,Aceptado
363051.2553,13975597.78,6735016.677,3078016.9289999995,465855.3768,4786023.786,23468661.47,3234341.438,0.0,-5096869.78,80853612.46,13777679.92,2481210.509,6022768.222,Aceptado
5032828.056,8561780.977,0.0,23152.29331,538371.5883,-11361090.38,4333484.454,2552583.317,4705570.239,-1215433.923,81264766.64,74257411.07,11849955.55,0.0,Aceptado
57098.18559,194719.0936,60458.79219,36109.41227,27117.23405,558628.8356,178877.9922,27423.3155,-6723219.811000001,-2674636.586,809470.0964,0.0,656508.5913,1807744.005,Aceptado
112211.3366,11754358.13,3287775.747,423340.4711,176766.8297,4397205.252,17393306.57,0.0,2978687.131,-4219661.562,22199479.95,31102939.18,10263358.57,0.0,Aceptado
737157.0424,35042226.83,0.0,2692766.7830000003,877224.2707,0.0,0.0,0.0,0.0,0.0,91910665.51,198574937.3,28155132.77,35262068.46,Aceptado
4019484.2410000004,0.0,0.0,1710832.726,846122.6492,0.0,76755572.96,0.0,14308916.66,-3730905.7610000004,0.0,266897817.3,41522261.75,39465060.85,Aceptado
17178.77161,72010.72625,3348954.869,0.0,38217.05866,8709403.985,707759.5251,242909.7955,-13382702.6,-5847221.565,1204274.289,4070979.435,27274.1452,417445.7597,Aceptado
1125420.076,10912804.52,9547285.707,2032449.02,1209412.116,5079103.973,14310932.52,5957324.1389999995,0.0,-1385737.85,64058957.77,19818029.76,0.0,9020125.156,Aceptado
478780.3208,21873016.17,16187973.99,10517845.5,0.0,7882470.775,42160758.72,1370381.9730000002,5982367.09,-216081.7649,0.0,32974897.14,30663693.53,31276661.93,Aceptado
117205.9614,5395855.71,1014623.052,704836.5586,66895.67517,89478.70972,9221835.156,1732466.586,14779624.61,-7675057.818,22401630.34,11321560.82,291382.4726,1081337.788,Sospechoso
870303.2151,12582606.44,3548.391395,1018833.75,0.0,-13579822.78,3501016.458,0.0,0.0,-77126.81015,19241372.86,11480363.28,5184224.968,10469404.12,Aceptado
86416.90624,4707900.216,4320282.414,741762.603,196357.1945,7526118.454,15325674.17,0.0,-7422944.484,-2975052.396,16128671.63,30805557.77,17700221.31,0.0,Aceptado
978903.1719,29474331.12,29564936.13,705900.9693,0.0,5480713.177,0.0,3230057.288,9125091.774,-2779358.473,165196628.3,49683378.27,25766258.48,25957721.18,Aceptado
0.0,1676067.727,0.0,273407.6003,2736461.4189999998,-577262.0,4659462.834,481292.8367,-2960625.4960000003,-346936.6206,87236675.24,76310625.5,14581493.62,10459157.5,Aceptado
6128822.453,27815646.44,0.0,5641362.331,2333825.1380000003,-6404448.9629999995,23624487.92,4510697.565,15267673.49,-1157633.913,196010532.1,0.0,14614312.02,21065411.56,Aceptado
357320.0198,0.0,21290792.44,177234.1455,129714.3589,7081284.244,24722723.89,125115.7688,0.0,-1240566.142,23179413.45,0.0,40849692.71,45369397.74,Aceptado
137703.49800000002,0.0,72971978.24,550253.4838,1628163.554,8577306.767,124923299.8,7687764.882999999,20850808.31,-5421626.204,499506625.8,93594095.97,40292561.38,25209013.26,Aceptado
162941.775,8774467.95,8843830.848,0.0,546774.6894,6719815.964,0.0,937125.9882,5038068.972,-3964934.454,75421761.88,29452054.52,13979854.44,11425317.74,Aceptado
1182821.727,14517997.94,44485180.69,452715.8006,1703270.7380000001,7070052.909,0.0,0.0,-1799489.6,0.0,132593109.7,237462857.9,37102930.45,36003341.34,Aceptado
0.0,24904109.73,90294694.9,232319.6477,860896.7408,7643612.097,73141669.82,16300706.47,12987397.56,-1055217.7859999998,0.0,32793743.3,48796722.23,24729336.06,Aceptado
12861443.56,52219245.64,38318169.85,11379192.37,4163885.8819999998,896938.6007,89201853.91,6438916.555,12255164.54,-431645.8681,461722306.0,251278379.7,51588795.5,50927814.22,Aceptado
470525.6573,30783355.11,37000497.62,1058052.312,0.0,0.0,61221895.77,0.0,-735728.6556,-3753746.6360000004,125528415.2,209217354.6,34243338.81,40645231.7,Aceptado
59278.979739999995,2434623.817,16730354.59,18696.83645,123664.5132,7548041.47,7469286.377,1250825.376,3422158.438,-6863538.745,43738221.78,21432198.53,1855081.27,2151453.67,Aceptado
98665.31385,30696121.37,42709653.34,1579580.58,682755.8797,8681993.124,80578197.25,1672092.532,9309401.091,-7465477.154,151853821.6,162474346.2,16585286.58,23804521.23,Aceptado
85804.41662999999,168650.8976,580.696059,80824.41895,527922.9468,-4797332.698,48728.83797,57854.976039999994,-2272688.425,1133996.414,0.0,0.0,0.0,1972339.957,Aceptado
6096323.985,61372163.97,23431439.01,23131861.88,5050605.443,-3916694.34,96059727.18,11366309.35,11830365.19,-3099349.4269999997,0.0,1431763514.0,76453717.15,41204965.93,Aceptado
844148.3526,7425002.282000001,1954568.9319999998,2235731.2,2484445.835,0.0,17205489.72,0.0,845936.3104,-2477977.483,73074445.92,0.0,8081909.129,11728129.2,Aceptado
411635.9495,13609649.58,12177565.32,139091.2717,145238.006,1568640.733,15131420.1,3591075.248,12543349.1,0.0,42599701.54,53270076.47,2380774.891,6539748.573,Aceptado
2517705.071,38450357.65,7048240.167,14254747.99,2928274.1610000003,-5130292.52,52436707.85,2679412.258,0.0,-3374514.2630000003,196954159.8,477862598.2,35013993.83,33537640.7,Aceptado
